file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
supplytroveitem,.lang,items\lang\english\supplytroveitem.lang,Supply Trove,Supply Trove,the,a,this,Donate this item to increase each of your stockpiles' values by 2!
supplytroverecipeitem,.lang,items\lang\english\supplytroverecipeitem.lang,Supply Trove Recipe,Supply Trove Recipe,the,a,this,Unlocks a new recipe for Supply Troves at the Mole Forge anvil. Supply Troves may be donated to increase all of your colony stockpiles' values by 2!
surcoataccessoryitem,.lang,items\lang\english\surcoataccessoryitem.lang,Surcoat Accessory,Surcoat,the,a,this,"A loose-fitting shirt with bold, flat colors."
sweetcurioitem,.lang,items\lang\english\sweetcurioitem.lang,Sweet Curio,Sweet Curio,the,a,this,"You aren't sure how to remove the lid, but it sure does smell sweet."
teethmaskaccessoryitem,.lang,items\lang\english\teethmaskaccessoryitem.lang,Teeth Mask Accessory,Teeth Mask,the,a,this,A tough-looking mask to set over your nose and mouth.
theatermaskaccessoryitem,.lang,items\lang\english\theatermaskaccessoryitem.lang,Theater Mask Accessory,Theater Mask,the,a,this,A strange mask from some long-forgotten play.
thistlefairitem,.lang,items\lang\english\thistlefairitem.lang,Thistle [Fair],Thistle,the,a,this,A bulbous strand of light blue needles. Improves your swimming for a short time.
thistlegooditem,.lang,items\lang\english\thistlegooditem.lang,Thistle [Good],Thistle,the,a,this,A healthy strand of light blue needles. Improves your swimming for a short time.
thistlepooritem,.lang,items\lang\english\thistlepooritem.lang,Thistle [Poor],Thistle,the,a,this,A tall strand of light blue needles. Improves your swimming for a short time.
thistleseedsitem,.lang,items\lang\english\thistleseedsitem.lang,Thistle Seeds,Thistle Seeds,the,a,these,Small yellow seeds yielded from a thistle plant. Sow these in the garden and watch them grow!
thistleseedsrecipeitem,.lang,items\lang\english\thistleseedsrecipeitem.lang,Thistle Seeds Recipe,Thistle Seeds Recipe,the,a,this,Grow thistle in your garden with these seeds! Thistle helps you swim better for a short time.
thrushitem,.lang,items\lang\english\thrushitem.lang,Thrush,Thrush,the,a,this,A bird with a speckled pattern on its belly.
tiaraaccessoryitem,.lang,items\lang\english\tiaraaccessoryitem.lang,Tiara Accessory,Tiara,the,a,this,A dainty headpiece fit for a princess.
tigerbutterflyitem,.lang,items\lang\english\tigerbutterflyitem.lang,Tiger Butterfly,Tiger Butterfly,the,a,this,A flying insect with black stripes on its yellow wings.
toaditem,.lang,items\lang\english\toaditem.lang,Toad,Toad,the,a,this,Looks like he croaked.
topazitem,.lang,items\lang\english\topazitem.lang,Topaz,Topaz,the,a,this,A gleaming yellow gemstone.
tophataccessoryitem,.lang,items\lang\english\tophataccessoryitem.lang,Top Hat Accessory,Top Hat,the,a,this,A dashing black hat with a round brim. Formal and elegant!
trainingmanualitem,.lang,items\lang\english\trainingmanualitem.lang,Training Manual,Training Manual,the,a,this,Lots of helpful information for those who seek adventure! Use this item while a Buddy is following you to instantly increase their Buddy XP.
treasurechestfurnitureitem,.lang,items\lang\english\treasurechestfurnitureitem.lang,Treasure Chest Furniture,Treasure Chest,the,a,this,The perfect place to stash your valuables! Can be used to access your storage.
treasurehoardbedfurnitureitem,.lang,items\lang\english\treasurehoardbedfurnitureitem.lang,Treasure Hoard Bed Furniture,Treasure Hoard Bed,the,a,this,Guard your wealth from prying paws by sleeping atop it like a slumbering dragon! A generous pile of coins and precious gemstones.
tremortroveitem,.lang,items\lang\english\tremortroveitem.lang,Tremortrove,Tremortrove,the,a,this,An unthinking machine that can generate localized earthquakes in a rhythmic pattern.
tropicalbutterflyitem,.lang,items\lang\english\tropicalbutterflyitem.lang,Tropical Butterfly,Tropical Butterfly,the,a,this,A lightweight insect with diverse markings.
troutitem,.lang,items\lang\english\troutitem.lang,Trout,Trout,the,a,this,"A large, speckled freshwater fish. Dinner's served!"
troutplaquefurnitureitem,.lang,items\lang\english\troutplaquefurnitureitem.lang,Trout Plaque Furniture,Trout Plaque,the,a,this,Show off your fishing prowess with this wall-mounted trophy of a trout on a wooden backboard!
turretitem,.lang,items\lang\english\turretitem.lang,Turret,Turret,the,a,this,"A tall, pointy shell that once housed a tiny snail."
turtleitem,.lang,items\lang\english\turtleitem.lang,Turtle,Turtle,the,a,this,A painted turtle with a hard shell.
tussockmothitem,.lang,items\lang\english\tussockmothitem.lang,Tussock Moth,Tussock Moth,the,a,this,An austere airborne animal with lightly-colored stripes on its wings.
undergroundindustryrecorditem,.lang,items\lang\english\undergroundindustryrecorditem.lang,Underground Industry Record,Underground Industry,the,an,this,A music disc that you can play at your den record player. This track is a mining tune favored by moles everywhere.
unidentifiedcurioitem,.lang,items\lang\english\unidentifiedcurioitem.lang,Unidentified Curio,Unidentified Curio,the,an,this,What could this strange novelty item be? Bring it to the curio identification table in the Museum to identify it.
unidentifiedcuriorecipeitem,.lang,items\lang\english\unidentifiedcuriorecipeitem.lang,Unidentified Curio Recipe,Unidentified Curio Recipe,the,an,this,"Sifting through these items, you can sometimes find a lost curio hidden within. Bring it to the Museum for identification."
valerianfairitem,.lang,items\lang\english\valerianfairitem.lang,Valerian [Fair],Valerian,the,a,this,A cluster of cheery pink and white blooms. Increases your movement speed for a short while.
valeriangooditem,.lang,items\lang\english\valeriangooditem.lang,Valerian [Good],Valerian,the,a,this,A cluster of vivid pink and white blooms. Increases your movement speed for a short while.
valerianpooritem,.lang,items\lang\english\valerianpooritem.lang,Valerian [Poor],Valerian,the,a,this,A cluster of dull pink and white blooms. Increases your movement speed for a short while.
valerianseedsitem,.lang,items\lang\english\valerianseedsitem.lang,Valerian Seeds,Valerian Seeds,the,a,these,Small brown seeds yielded from a valerian plant. Sow these in the garden and watch them grow!
valerianseedsrecipeitem,.lang,items\lang\english\valerianseedsrecipeitem.lang,Valerian Seeds Recipe,Valerian Seeds Recipe,the,a,this,Grow valerian in your garden with these seeds! Valerian can give a cat a boost of energy.
vialofspringshowersitem,.lang,items\lang\english\vialofspringshowersitem.lang,Vial of Spring Showers,Vial of Spring Showers,the,a,this,Use this at any time to summon a light spring rain shower until the end of the day. Single-use.
voidlingcat,.lang,items\lang\english\voidlingcat.lang,VoidlingCat,Voidling Cat,the,a,this,An unfriendly shadow in the form of a cat.
voidmarrowitem,.lang,items\lang\english\voidmarrowitem.lang,Voidmarrow,Voidmarrow,the,a,this,A writhing pile of shadowy essence. It gives you an uneasy feeling.
voleitem,.lang,items\lang\english\voleitem.lang,Vole,Vole,the,a,this,Looks a little like a hamster.
wallcrystalsfurnitureitem,.lang,items\lang\english\wallcrystalsfurnitureitem.lang,Wall Crystals Furniture,Wall Crystals,the,a,this,Pinkish-white quartz crystals that can cling to vertical surfaces like your den walls.
weaselitem,.lang,items\lang\english\weaselitem.lang,Weasel,Weasel,the,a,this,"A slender creature with small, round ears."
whiskersaccessoryitem,.lang,items\lang\english\whiskersaccessoryitem.lang,Whiskers Accessory,Whiskers,the,a,these,"Most cats have whiskers, but these are thicker and more pronounced."
whitebuttonitem,.lang,items\lang\english\whitebuttonitem.lang,White Button,White Button,the,a,this,A petite whitecap mushroom that tastes earthy.
whitecavecricketitem,.lang,items\lang\english\whitecavecricketitem.lang,White Cave Cricket,White Cave Cricket,the,a,this,A small creature with dark eyes and a translucent body. They often congregate under rocks.
whitefireflyitem,.lang,items\lang\english\whitefireflyitem.lang,White Firefly,White Firefly,the,a,this,A luminescent summer bug that emits white light.
whitefloweraccessoryitem,.lang,items\lang\english\whitefloweraccessoryitem.lang,White Flower Accessory,White Flower,the,a,this,A beautiful white blossom to set atop your head.
whitespikecollaraccessoryitem,.lang,items\lang\english\whitespikecollaraccessoryitem.lang,White Spike Collar Accessory,White Spike Collar,the,a,this,A white band of leather studded with small black spikes. They look pointy!
whorlitem,.lang,items\lang\english\whorlitem.lang,Whorl,Whorl,the,a,this,This hard shell has a spiral pattern.
wildwoodrecorditem,.lang,items\lang\english\wildwoodrecorditem.lang,Wildwood Record,Wildwood,the,a,this,A music disc that you can play at your den record player. This track is an adventurous tune.
winter1recorditem,.lang,items\lang\english\winter1recorditem.lang,Winter 1 Record,Winter 1,the,a,this,A music disc that you can play at your den record player. This track is a calming wintertime tune.
winter2recorditem,.lang,items\lang\english\winter2recorditem.lang,Winter 2 Record,Winter 2,the,a,this,A music disc that you can play at your den record player. This track is a chilly wintertime tune.
winter3recorditem,.lang,items\lang\english\winter3recorditem.lang,Winter 3 Record,Winter 3,the,a,this,A music disc that you can play at your den record player. This track is a peaceful wintertime tune.
winterfestivalrecorditem,.lang,items\lang\english\winterfestivalrecorditem.lang,Winter Festival Record,Winter Festival,the,a,this,A music disc that you can play at your den record player. This track is a wintertime party tune.
winterlightsfurnitureitem,.lang,items\lang\english\winterlightsfurnitureitem.lang,Winter Lights Furniture,Winter Lights,the,a,these,"Multi-colored light bulbs, strung on a festive string."
wirycurioitem,.lang,items\lang\english\wirycurioitem.lang,Wiry Curio,Wiry Curio,the,a,this,A tantalizing length of some twiny material.
wolfspideritem,.lang,items\lang\english\wolfspideritem.lang,Wolf Spider,Wolf Spider,the,a,this,A harrowing creature with a specialized toxin that can slow your movements.
woodencurioitem,.lang,items\lang\english\woodencurioitem.lang,Wooden Curio,Wooden Curio,the,a,this,"A flat wood stick, stained slightly on one end."
woolycurioitem,.lang,items\lang\english\woolycurioitem.lang,Wooly Curio,Wooly Curio,the,a,this,A very soft pouch made of fabric.
wovenrugfurnitureitem,.lang,items\lang\english\wovenrugfurnitureitem.lang,Woven Rug Furniture,Woven Rug,the,a,this,Some cat spent a lot of time carefully weaving the thick material used to create this small rug!
wrenitem,.lang,items\lang\english\wrenitem.lang,Wren,Wren,the,a,this,A small brown bird.
wretchedtalismanitem,.lang,items\lang\english\wretchedtalismanitem.lang,Wretched Talisman,Wretched Talisman,the,a,this,"A cursed amulet that whispers of the void. Use to summon an invading army of Voidling Cats. If you defeat them all, you'll be rewarded."
wretchedtalismanrecipeitem,.lang,items\lang\english\wretchedtalismanrecipeitem.lang,Wretched Talisman Recipe,Wretched Talisman Recipe,the,a,this,"A cursed amulet that whispers of the void. Use to summon an invading army of Voidling Cats. If you defeat them all, you'll be rewarded."
yellowfireflyitem,.lang,items\lang\english\yellowfireflyitem.lang,Yellow Firefly,Yellow Firefly,the,a,this,A bright summer bug that sheds yellow light.
yellowladybugitem,.lang,items\lang\english\yellowladybugitem.lang,Yellow Ladybug,Yellow Ladybug,the,a,this,A striking little bug with black spots.
